index,date,BPS,PER,PBR,EPS,DIV,DPS,ticker
0,2019-03-31,0,0.0,0.0,0,2.34,3050,097955
1,2019-06-30,0,0.0,0.0,0,2.83,3550,097955
2,2019-09-30,0,0.0,0.0,0,3.35,3550,097955
3,2019-12-31,0,0.0,0.0,0,3.41,3550,097955
4,2020-03-31,0,0.0,0.0,0,3.4,3550,097955
5,2020-06-30,0,0.0,0.0,0,2.84,3550,097955
6,2020-09-30,0,0.0,0.0,0,2.17,3550,097955
7,2020-12-31,0,0.0,0.0,0,2.2,3550,097955
8,2021-03-31,0,0.0,0.0,0,1.96,3550,097955
9,2021-06-30,0,0.0,0.0,0,1.82,4050,097955
10,2021-09-30,0,0.0,0.0,0,1.99,4050,097955
11,2021-12-31,0,0.0,0.0,0,2.33,4050,097955
12,2022-03-31,0,0.0,0.0,0,2.45,4050,097955
13,2022-06-30,0,0.0,0.0,0,2.86,5050,097955
14,2022-09-30,0,0.0,0.0,0,3.07,5050,097955
15,2022-12-31,0,0.0,0.0,0,2.96,5050,097955
16,2023-03-31,0,0.0,0.0,0,3.18,5050,097955
17,2023-06-30,0,0.0,0.0,0,3.74,5550,097955
18,2023-09-30,0,0.0,0.0,0,4.06,5550,097955
19,2023-12-31,0,0.0,0.0,0,4.19,5550,097955
20,2019-03-31,139324,19.91,0.6,4223,4.16,3500,000480
21,2019-06-30,146819,5.65,0.62,16227,4.36,4000,000480
22,2019-09-30,146819,5.31,0.59,16227,4.65,4000,000480
23,2019-12-31,146819,5.36,0.59,16227,4.6,4000,000480
24,2020-03-31,146819,4.78,0.53,16227,5.16,4000,000480
25,2020-06-30,147942,9.98,0.51,7493,5.35,4000,000480
26,2020-09-30,147942,9.54,0.48,7493,5.59,4000,000480
27,2020-12-31,147942,10.82,0.55,7493,4.93,4000,000480
28,2021-03-31,147942,10.6,0.54,7493,5.04,4000,000480
29,2021-06-30,154303,8.73,0.59,10421,4.62,4200,000480
30,2021-09-30,154303,8.63,0.58,10421,4.67,4200,000480
31,2021-12-31,154303,7.86,0.53,10421,5.13,4200,000480
32,2022-03-31,154303,7.56,0.51,10421,5.33,4200,000480
33,2022-06-30,207776,10.41,0.39,7840,5.51,4500,000480
34,2022-09-30,207776,9.92,0.37,7840,5.78,4500,000480
35,2022-12-31,207776,10.11,0.38,7840,5.67,4500,000480
36,2023-03-31,207776,10.24,0.39,7840,5.6,4500,000480
37,2023-06-30,21609,6.68,0.4,1279,5.26,450,000480
